Valor,Fecha
"28.339,17","2020-02-01"
"28.340,08","2020-02-02"
"28341","2020-02-03"
"28.341,91","2020-02-04"
"28.342,82","2020-02-05"
"28.343,74","2020-02-06"
"28.344,65","2020-02-07"
"28.345,56","2020-02-08"
"28.346,48","2020-02-09"
"28.352,33","2020-02-10"
"28.358,18","2020-02-11"
"28.364,03","2020-02-12"
"28.369,88","2020-02-13"
"28.375,73","2020-02-14"
"28.381,59","2020-02-15"
"28.387,44","2020-02-16"
"28.393,30","2020-02-17"
"28.399,15","2020-02-18"
"28.405,01","2020-02-19"
"28.410,87","2020-02-20"
"28.416,73","2020-02-21"
"28.422,60","2020-02-22"
"28.428,46","2020-02-23"
"28.434,32","2020-02-24"
"28.440,19","2020-02-25"
"28.446,06","2020-02-26"
"28.451,93","2020-02-27"
"28.457,80","2020-02-28"
"28.463,67","2020-02-29"
